Category,ProductName,Location,Price,OverallRating,NumberSold,TotalReview,CustomerRating,CustomerReview,Sentiment,Emotion,PriceBinned,tokens,CleanReview,ReviewLength
Computers and Laptops,Kabel Power Adaptor Charger Laptop 3 Lubang,Jakarta Pusat,25000,4.9,2122,828,5,"Penjual amanah, responsif. Kabel berfungsi baik. Pengiriman cepat. Terima kasih.",Positive,Happy,Low,"['penjual', 'amanah', 'responsif', 'kabel', 'berfungsi', 'pengiriman', 'cepat', 'terima', 'kasih']",penjual amanah responsif kabel berfungsi baik pengiriman cepat terima kasih,10
Computers and Laptops,Charger Adaptor Laptop Acer Aspire E14 E5-421 E5-431 E5-471 E5-475G,Jakarta Pusat,55000,4.9,2010,970,5,"Alhamdulillah barang sudah sampai, bisa dipakai semoga berfungsi dengan baik dan awet, kurirnya baik smoga rezekinya lancar terus",Positive,Happy,Medium,"['alhamdulillah', 'barang', 'dipakai', 'semoga', 'berfungsi', 'awet', 'kurirnya', 'smoga', 'rezekinya', 'lancar']",alhamdulillah barang sudah sampai bisa dipakai semoga berfungsi dengan baik dan awet kurirnya baik smoga rezekinya lancar terus,18
Computers and Laptops,Cooling Pad Laptop Gaming 6 Fan Kipas Pendingin Laptop Kipas Cooler Q3,Kota Bandung,127880,4.9,1257,700,5,bagus. berjalan baik dan cukup silent. kokoh dan muat untuk laptop 16 inch,Positive,Happy,High,"['bagus', 'berjalan', 'silent', 'kokoh', 'muat', 'laptop', 'inch']",bagus berjalan baik dan cukup silent kokoh dan muat untuk laptop inch,12
Computers and Laptops,Cooling Pad Laptop Gaming 6 Fan Kipas Pendingin Laptop Kipas Cooler Q3,Kota Bandung,127880,4.9,1257,700,5,"Packing aman, pengiriman cepat dan barang berfungsi dengan baik",Positive,Happy,High,"['packing', 'aman', 'pengiriman', 'cepat', 'barang', 'berfungsi']",packing aman pengiriman cepat dan barang berfungsi dengan baik,9
Computers and Laptops,"kipas laptop cooling pad Ace cooling ergostand 15,6inch 1 fan",Jakarta Utara,80000,4.8,3982,1890,5,Produknya baik dan kualitasny good banget. produk sampai ke konsumen dalam kondisi baik. sesuai sih sama harga juga so overall very good lah ??,Positive,Happy,Medium,"['produknya', 'kualitasny', 'good', 'banget', 'produk', 'konsumen', 'kondisi', 'sesuai', 'harga', 'so', 'overall', 'very', 'good']",produknya baik dan kualitasny good banget produk sampai ke konsumen dalam kondisi baik sesuai sih sama harga juga so overall very good lah,23
Computers and Laptops,"kipas laptop cooling pad Ace cooling ergostand 15,6inch 1 fan",Jakarta Utara,80000,4.8,3982,1890,5,barang udah sampai ya gan dan berfungsi. terima kasih,Positive,Happy,Medium,"['barang', 'udah', 'gan', 'berfungsi', 'terima', 'kasih']",barang udah sampai ya gan dan berfungsi terima kasih,9
Computers and Laptops,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,Kota Depok,55000,4.8,13900,6671,5,barang mantap sesuai deskripsi laptop jadi adem n sejuk,Positive,Happy,Medium,"['barang', 'mantap', 'sesuai', 'deskripsi', 'laptop', 'adem', 'n', 'sejuk']",barang mantap sesuai deskripsi laptop jadi adem n sejuk,9
Computers and Laptops,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,Kota Depok,55000,4.8,13900,6671,5,"produk saya terima dengan kondisi baik, terima kasih ^^",Positive,Happy,Medium,"['produk', 'terima', 'kondisi', 'terima', 'kasih']",produk saya terima dengan kondisi baik terima kasih,8
Computers and Laptops,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,Kota Depok,55000,4.8,13900,6671,5,"belanja kedua kalinya, selalu puas. pengiriman lumayan cepat. overall bagus banget",Positive,Happy,Medium,"['belanja', 'kalinya', 'puas', 'pengiriman', 'lumayan', 'cepat', 'overall', 'bagus', 'banget']",belanja kedua kalinya selalu puas pengiriman lumayan cepat overall bagus banget,11
Computers and Laptops,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,Kota Depok,55000,4.8,13900,6671,5,"Kualitas barang bagus, harga relatif murah, kiriman super cepat, response penjual baik, recommended seller, bintang 5, terima kasih yah, semoga SUKSES usaha-nya, aamiin ??????.",Positive,Happy,Medium,"['kualitas', 'barang', 'bagus', 'harga', 'relatif', 'murah', 'kiriman', 'super', 'cepat', 'response', 'penjual', 'recommended', 'seller', 'bintang', 'terima', 'kasih', 'yah', 'semoga', 'sukses', 'usaha', 'aamiin']",kualitas barang bagus harga relatif murah kiriman super cepat response penjual baik recommended seller bintang terima kasih yah semoga sukses usaha nya aamiin,23
Computers and Laptops,Cooling Pad Gaming Ergostand Kipas Pendingin Laptop Big Fan Cooler Pad - KIPAS ERGOSTAND,Jakarta Barat,74900,4.7,3713,2153,5,mantab barang nya oke punya,Positive,Happy,Medium,"['mantab', 'barang', 'ok']",mantab barang nya ok punya,5
Computers and Laptops,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,Jakarta Barat,112000,4.9,5988,2969,5,"pengiriman cepat, packing rapi, kualitas mantap",Positive,Happy,High,"['pengiriman', 'cepat', 'packing', 'rapi', 'kualitas', 'mantap']",pengiriman cepat packing rapi kualitas mantap,6
Computers and Laptops,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,Jakarta Barat,112000,4.9,5988,2969,5,silent dan bagus untuk pekerjaan ringan,Positive,Happy,High,"['silent', 'bagus', 'pekerjaan', 'ringan']",silent dan bagus untuk pekerjaan ringan,6
Computers and Laptops,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,Jakarta Barat,112000,4.9,5988,2969,5,Barang cepat sampai. Kualitas bagus dan pengiriman aman tidak ada yang pecah. Manstapu ??????,Positive,Happy,High,"['barang', 'cepat', 'kualitas', 'bagus', 'pengiriman', 'aman', 'tidak', 'pecah', 'manstapu']",barang cepat sampai kualitas bagus dan pengiriman aman tidak ada yang pecah manstapu,13
Computers and Laptops,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,Jakarta Barat,112000,4.9,5988,2969,5,"Bagus, berkualitas, sesuai gbr. Makasih Seller, Tokped dan Kurir",Positive,Happy,High,"['bagus', 'berkualitas', 'sesuai', 'gbr', 'makasih', 'seller', 'tokped', 'kurir']",bagus berkualitas sesuai gbr makasih seller tokped dan kurir,9
Computers and Laptops,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",Kota Surabaya,385000,5.0,2716,1843,5,"mantap kipasnya kenceng, barangnya berkualitas sesuai sama harga",Positive,Happy,High,"['mantap', 'kipasnya', 'kenceng', 'barangnya', 'berkualitas', 'sesuai', 'harga']",mantap kipasnya kenceng barangnya berkualitas sesuai sama harga,8
Computers and Laptops,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",Kota Surabaya,385000,5.0,2716,1843,5,mantap proses pengerjaan dan pengiriman juga barang sesuai dengan deskripsi,Positive,Happy,High,"['mantap', 'proses', 'pengerjaan', 'pengiriman', 'barang', 'sesuai', 'deskripsi']",mantap proses pengerjaan dan pengiriman juga barang sesuai dengan deskripsi,10
Computers and Laptops,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",Kota Surabaya,385000,5.0,2716,1843,5,Penjualnya Ramah Melayani Pembeli Dengan Sabar dan Memberikan Berbagai Saran Yang Pembeli Tidak Tahu ... Mantap Lah ??????,Positive,Happy,High,"['penjualnya', 'ramah', 'melayani', 'pembeli', 'sabar', 'saran', 'pembeli', 'tidak', 'mantap']",penjualnya ramah melayani pembeli dengan sabar dan memberikan berbagai saran yang pembeli tidak tahu mantap lah,16
Computers and Laptops,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",Kota Surabaya,385000,5.0,2716,1843,5,"barang sampai dengan cepat, packingnya rapi dan amat sekali, tidak ada bagian acrylic yang pecah. berfungsi dengan baik. semoga awet.",Positive,Happy,High,"['barang', 'cepat', 'packingnya', 'rapi', 'tidak', 'acrylic', 'pecah', 'berfungsi', 'semoga', 'awet']",barang sampai dengan cepat packingnya rapi dan amat sekali tidak ada bagian acrylic yang pecah berfungsi dengan baik semoga awet,20
Computers and Laptops,MacBook Skin Keyboard Protector TRANSPARANT BENING - A2141 A2289,Jakarta Utara,15000,4.9,690,338,5,Sangat presisi dan pas,Positive,Happy,Low,"['presisi', 'pas']",sangat presisi dan pas,4
Computers and Laptops,MacBook Skin Keyboard Protector TRANSPARANT BENING - A2141 A2289,Jakarta Utara,15000,4.9,690,338,5,"Puas banget, seller helpfull, sangat responsif dan cepet banget sampai nya, recomended...",Positive,Happy,Low,"['puas', 'banget', 'seller', 'helpfull', 'responsif', 'cepet', 'banget', 'recomended']",puas banget seller helpfull sangat responsif dan cepet banget sampai nya recomended,12
Computers and Laptops,MacBook Skin Keyboard Protector TRANSPARANT BENING - A2141 A2289,Jakarta Utara,15000,4.9,690,338,5,"Mantappp, responnya juga memuaskan. sudah dicoba dan dipasang presisi dan nyaman. CAs Juga responsif",Positive,Happy,Low,"['mantap', 'responnya', 'memuaskan', 'dicoba', 'dipasang', 'presisi', 'nyaman', 'cas', 'responsif']",mantap responnya juga memuaskan sudah dicoba dan dipasang presisi dan nyaman cas juga responsif,14
Computers and Laptops,"Logitech Bluetooth Keyboard K380 , K 380 , K-380 - Hitam",Jakarta Barat,365000,5.0,2554,1396,5,Mantap barangnya cepet sampai dan enak digunainnya!,Positive,Happy,High,"['mantap', 'barangnya', 'cepet', 'enak', 'digunainnya']",mantap barangnya cepet sampai dan enak digunainnya,7
Computers and Laptops,"Logitech Bluetooth Keyboard K380 , K 380 , K-380 - Hitam",Jakarta Barat,365000,5.0,2554,1396,5,"Barang bagus,oke, cepat pengirimannya juga",Positive,Happy,High,"['barang', 'bagus', 'ok', 'cepat', 'pengirimannya']",barang bagus ok cepat pengirimannya juga,6
Computers and Laptops,"Logitech Bluetooth Keyboard K380 , K 380 , K-380 - Hitam",Jakarta Barat,365000,5.0,2554,1396,5,"Pengiriman cepat, seller responsif ??",Positive,Happy,High,"['pengiriman', 'cepat', 'seller', 'responsif']",pengiriman cepat seller responsif,4
Computers and Laptops,Wireless Keyboard i8 Mini TouchPad Mouse 2.4G Handheld PC Android TV,Jakarta Utara,53500,4.9,5449,2369,5,Barang berfungsi baik. Pemilik toko sangat responsif dan membantu saat ada sedikit kendala. Sukses tokonya ya gan ??????,Positive,Happy,Medium,"['barang', 'berfungsi', 'pemilik', 'toko', 'responsif', 'membantu', 'kendala', 'sukses', 'tokonya', 'gan']",barang berfungsi baik pemilik toko sangat responsif dan membantu saat ada sedikit kendala sukses tokonya ya gan,17
Computers and Laptops,Wireless Keyboard i8 Mini TouchPad Mouse 2.4G Handheld PC Android TV,Jakarta Utara,53500,4.9,5449,2369,5,"seller luar biasa.. packing baik, pengiriman cepat, penting nya barang sesuai deskripsi dan berfungsi. terima kasih..",Positive,Happy,Medium,"['seller', 'packing', 'pengiriman', 'cepat', 'barang', 'sesuai', 'deskripsi', 'berfungsi', 'terima', 'kasih']",seller luar biasa packing baik pengiriman cepat penting nya barang sesuai deskripsi dan berfungsi terima kasih,16
Computers and Laptops,Logitech M191 Mouse Wireless Full Size - Mid Grey,Jakarta Timur,119000,4.9,9777,5546,1,Sangat kecewa. Baru 4 bulan scroll sudah rusak.,Negative,Sadness,High,"['kecewa', 'scroll', 'rusak']",sangat kecewa baru bulan scroll sudah rusak,7
Computers and Laptops,Adaptor Charger OriginaL Laptop Asus X441 X441U X441UV X441UA X441S,Jakarta Barat,113777,4.9,1630,777,1,"jelek, yg pasti jauh dari ori. mousepad jd ga bs dipakai kl di charger, jd getar parah. barang ga sesui foto, kayak barang lapak sebelah yg harga 80rban. padahal sebelumnya pernah beli disini dan bagus,persis spt foto yg ada indikator di ujung charger. makanya order disini lg walaupun sedikit mahal ternyata barangnya tdk sama dgn order sebelumnya",Negative,Sadness,High,"['jelek', 'ori', 'mousepad', 'tidak', 'dipakai', 'kl', 'charger', 'getar', 'parah', 'barang', 'tidak', 'sesui', 'foto', 'kayak', 'barang', 'lapak', 'sebelah', 'harga', 'rban', 'beli', 'bagus', 'persis', 'spt', 'foto', 'indikator', 'ujung', 'charger', 'order', 'lg', 'mahal', 'barangnya', 'tidak', 'order']",jelek yang pasti jauh dari ori mousepad jadi tidak bisa dipakai kl di charger jadi getar parah barang tidak sesui foto kayak barang lapak sebelah yang harga rban padahal sebelumnya pernah beli disini dan bagus persis spt foto yang ada indikator di ujung charger makanya order disini lg walaupun sedikit mahal ternyata barangnya tidak sama dengan order sebelumnya,58
Computers and Laptops,Kabel Power Adaptor Charger Laptop 3 Lubang,Jakarta Pusat,25000,4.9,2122,828,1,gak bisa di pakai??,Negative,Sadness,Low,"['tidak', 'pakai']",tidak bisa di pakai,4
Computers and Laptops,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,Jakarta Barat,112000,4.9,5988,2969,1,Kecewa parah nggk berkah jualan gitu,Negative,Sadness,High,"['kecewa', 'parah', 'nggk', 'berkah', 'jualan', 'gitu']",kecewa parah nggk berkah jualan gitu,6
Computers and Laptops,"CASE MACBOOK Clear Bening AIR PRO RETINA TOUCHBAR 11 12 13 15 INCH - AIR 13 A1466, LOGO HOLE",Kota Bandung,90000,4.9,5182,2423,1,kecewa penjual ga tanggung jawab komplen berhari� gada solusi,Negative,Sadness,Medium,"['kecewa', 'penjual', 'tidak', 'tanggung', 'komplen', 'berhari', 'gada', 'solusi']",kecewa penjual tidak tanggung jawab komplen berhari gada solusi,9
Computers and Laptops,"CASE MACBOOK Clear Bening AIR PRO RETINA TOUCHBAR 11 12 13 15 INCH - AIR 13 A1466, LOGO HOLE",Kota Bandung,90000,4.9,5182,2423,1,"pas beli nanya dulu tipe untuk macbook pro 13inch M1 yang mana di variasi nya, kata penjualnya yang �new pro 13�. pas dateng casing kekecilan karena salah tipe ternyata. dan penjual pake banyak alesan gamau tanggung jawab padahal yang salah ya yg ngejual. kecewa gamau lagi beli disini ga tanggung jawab.",Negative,Sadness,Medium,"['pas', 'beli', 'nanya', 'tipe', 'macbook', 'pro', 'inch', 'm', 'variasi', 'penjualnya', 'new', 'pro', 'pas', 'dateng', 'casing', 'kekecilan', 'salah', 'tipe', 'penjual', 'pake', 'alesan', 'gamau', 'tanggung', 'salah', 'ngejual', 'kecewa', 'gamau', 'beli', 'tidak', 'tanggung']",pas beli nanya dulu tipe untuk macbook pro inch m yang mana di variasi nya kata penjualnya yang new pro pas dateng casing kekecilan karena salah tipe ternyata dan penjual pake banyak alesan gamau tanggung jawab padahal yang salah ya yang ngejual kecewa gamau lagi beli disini tidak tanggung jawab,50
Computers and Laptops,CASE MACBOOK Case MATTE BLACK AIR PRO RETINA TOUCHBAR 11 12 13 15 INCH - NEW AIR A2337M1,Kota Bandung,99000,4.9,1848,952,1,Barang sampai terlalu lama padahal masih dalam kota. Casing mudah lepas. Jujur mengecewakan.,Negative,Sadness,Medium,"['barang', 'kota', 'casing', 'mudah', 'lepas', 'jujur', 'mengecewakan']",barang sampai terlalu lama padahal masih dalam kota casing mudah lepas jujur mengecewakan,13
Computers and Laptops,Screen Guard (Protector) Anti Gores MacBook - A2141,Jakarta Utara,50000,4.8,2967,1191,1,"kecewa belanja di tempat kamu, lain di pesan lain dikirim ??????",Negative,Sadness,Medium,"['kecewa', 'belanja', 'pesan', 'dikirim']",kecewa belanja di tempat kamu lain di pesan lain dikirim,10
Computers and Laptops,Screen Guard (Protector) Anti Gores MacBook - A2141,Jakarta Utara,50000,4.8,2967,1191,1,"Tidak ada tissue pembersih, atau alat bantuan lainnya untuk memasang. sangat kecewa",Negative,Sadness,Medium,"['tidak', 'tissue', 'pembersih', 'alat', 'bantuan', 'memasang', 'kecewa']",tidak ada tissue pembersih atau alat bantuan lainnya untuk memasang sangat kecewa,12
Computers and Laptops,SanDisk Extreme Pro SDXC UHS-I Card 64GB 170MB/s,Jakarta Pusat,279000,5.0,3111,1456,1,"salah beli barang, tp toko tidak ada kompromi sama sekali. Padahal barang masih disegel, kecewa dehhh..",Negative,Sadness,High,"['salah', 'beli', 'barang', 'toko', 'tidak', 'kompromi', 'barang', 'disegel', 'kecewa']",salah beli barang tapi toko tidak ada kompromi sama sekali padahal barang masih disegel kecewa deh,16
Computers and Laptops,SanDisk Extreme SDHC UHS-I Card 32GB,Jakarta Pusat,119000,5.0,2215,1010,1,Data sering error dan hilang ??,Negative,Sadness,High,"['data', 'error', 'hilang']",data sering error dan hilang,5
Computers and Laptops,Logitech MK275 Wireless Keyboard Mouse Combo,Jakarta Timur,200000,4.9,3225,1528,1,"kecewa sama toko official ini ga tau kenapa pesenan pertama ga dikonfirmasi sampe di batalin sistem karena ga direspon sama sekali. pesanan kedua karena disuruh pesan lagi sama tokonya dan cuma dikonfirmasi doang ga dikirim sampe udah tinggal 10 menit sebelum dibatalin sistem lagi tapi untungnya gara chat cs tokopedia akhirnya barang bakalan dikirim didetik terakhir. ga cuma sampe situ aja payahnya barang baru diambil kurir tanggal 5 dan pickup barang sama kurir lebih dari 2 hari, proses kirim pun lemot muter padahal udah lewat depan rumah baru tanggal 9 jam 9 malem paketnya sampe??",Negative,Sadness,High,"['kecewa', 'toko', 'official', 'tidak', 'tau', 'pesenan', 'tidak', 'dikonfirmasi', 'sampe', 'batalin', 'sistem', 'tidak', 'direspon', 'pesanan', 'disuruh', 'pesan', 'tokonya', 'dikonfirmasi', 'doang', 'tidak', 'dikirim', 'sampe', 'udah', 'tinggal', 'menit', 'dibatalin', 'sistem', 'untungnya', 'gara', 'chat', 'cs', 'tokopedia', 'barang', 'dikirim', 'didetik', 'tidak', 'sampe', 'situ', 'payahnya', 'barang', 'diambil', 'kurir', 'tanggal', 'pickup', 'barang', 'kurir', 'proses', 'kirim', 'lemot', 'muter', 'udah', 'rumah', 'tanggal', 'jam', 'malem', 'paketnya', 'sampe']",kecewa sama toko official ini tidak tau kenapa pesenan pertama tidak dikonfirmasi sampe di batalin sistem karena tidak direspon sama sekali pesanan kedua karena disuruh pesan lagi sama tokonya dan cuma dikonfirmasi doang tidak dikirim sampe udah tinggal menit sebelum dibatalin sistem lagi tapi untungnya gara chat cs tokopedia akhirnya barang bakalan dikirim didetik terakhir tidak cuma sampe situ aja payahnya barang baru diambil kurir tanggal dan pickup barang sama kurir lebih dari hari proses kirim pun lemot muter padahal udah lewat depan rumah baru tanggal jam malem paketnya sampe,90
Computers and Laptops,Xiaomi Xiaovv Webcam 1080P USB Camera Full HD with Mic Webcast Live,Jakarta Barat,188000,4.9,3451,1651,1,"Packing seadanya, bubble hanya selapis saja ditambah lapisan plastik, hasilnya barang diterima dalam keadaan patah.",Negative,Sadness,High,"['packing', 'seadanya', 'bubble', 'selapis', 'ditambah', 'lapisan', 'plastik', 'hasilnya', 'barang', 'diterima', 'patah']",packing seadanya bubble hanya selapis saja ditambah lapisan plastik hasilnya barang diterima dalam keadaan patah,15
Computers and Laptops,Xiaomi Xiaovv Webcam 1080P USB Camera Full HD with Mic Webcast Live,Jakarta Barat,188000,4.9,3451,1651,1,Mic dari awal ga nyala,Negative,Sadness,High,"['mic', 'tidak', 'nyala']",mic dari awal tidak nyala,5
Computers and Laptops,SanDisk Ultra MicroSD 32GB A1 microSDHC UHS-I micro sd - No Adapter,Jakarta Pusat,75900,4.9,6754,3507,1,"KARTU SD NYA CUMA 29,71 GB, KATANYA OFFICIAL, TAPI MALAH MKSOFFICIAL. KECEWA, INI TIDAK ORIGINAL.",Negative,Sadness,Medium,"['kartu', 'sd', 'gb', 'official', 'mksofficial', 'kecewa', 'tidak', 'original']",kartu sd nya cuma gb katanya official tapi malah mksofficial kecewa ini tidak original,14
Computers and Laptops,SSD 128GB RX7 GARANSI RESMI 3THN,Kota Tangerang,210000,5.0,15400,3486,1,Kecepatan tdk sesuai dgn deskripsi,Negative,Sadness,High,"['kecepatan', 'tidak', 'sesuai', 'deskripsi']",kecepatan tidak sesuai dengan deskripsi,5
Computers and Laptops,Mouse Wireless Komic KM-803 - 1200DPI Nano USB Free Battery - Hijau,Jakarta Utara,90000,4.8,4563,1811,1,tidak berfugsi,Negative,Sadness,Medium,"['tidak', 'berfugsi']",tidak berfugsi,2
Computers and Laptops,Mouse Wireless Komic KM-803 - 1200DPI Nano USB Free Battery - Hijau,Jakarta Utara,90000,4.8,4563,1811,1,"Mouse kurang bagus , Pointer nya gerak gerak sendiri .",Negative,Sadness,Medium,"['mouse', 'bagus', 'pointer', 'gerak', 'gerak']",mouse kurang bagus pointer nya gerak gerak sendiri,8
Computers and Laptops,Mouse Wireless Komic KM-803 - 1200DPI Nano USB Free Battery - Hijau,Jakarta Utara,90000,4.8,4563,1811,1,infra red nya jelek suka mental ke mana2,Negative,Sadness,Medium,"['infra', 'red', 'jelek', 'suka', 'mental']",infra red nya jelek suka mental ke mana,8
Computers and Laptops,Mouse Wireless Komic KM-803 - 1200DPI Nano USB Free Battery - Hijau,Jakarta Utara,90000,4.8,4563,1811,1,Batre tidak sesuai ukuran dan tidak ada nano receiver.,Negative,Sadness,Medium,"['batre', 'tidak', 'sesuai', 'ukuran', 'tidak', 'nano', 'receiver']",batre tidak sesuai ukuran dan tidak ada nano receiver,9
Computers and Laptops,Mouse Wireless Komic KM-803 - 1200DPI Nano USB Free Battery - Hijau,Jakarta Utara,90000,4.8,4563,1811,1,boros batre,Negative,Sadness,Medium,"['boros', 'batre']",boros batre,2
Computers and Laptops,HTB-3100 25km single fiber mode transceiver Optical Media Converter,Jakarta Utara,150000,4.9,5384,634,1,barang error 1,Negative,Sadness,High,"['barang', 'error']",barang error,2
Computers and Laptops,Telkomsel Orbit Star 2,Kota Tangerang,629000,4.8,5998,3441,1,"jaringanya ngelek banget lelet mending pake indihome de, nyesel juga beli orbit jaringan ya parah,",Negative,Sadness,High,"['jaringanya', 'ngelek', 'banget', 'lelet', 'mending', 'pake', 'indihome', 'de', 'nyesel', 'beli', 'orbit', 'jaringan', 'parah']",jaringanya ngelek banget lelet mending pake indihome de nyesel juga beli orbit jaringan ya parah,15
Computers and Laptops,Telkomsel Orbit Star 2,Kota Tangerang,629000,4.8,5998,3441,1,tdk sesuai ekspektasi,Negative,Sadness,High,"['tidak', 'sesuai', 'ekspektasi']",tidak sesuai ekspektasi,3
Computers and Laptops,Telkomsel Orbit Star 2,Kota Tangerang,629000,4.8,5998,3441,1,lambat,Negative,Sadness,High,['lambat'],lambat,1
Computers and Laptops,Telkomsel Orbit Star 2,Kota Tangerang,629000,4.8,5998,3441,1,Katanya dapat paket 150 GB ternyata setelah di regiatrasi cm 300 mB..,Negative,Sadness,High,"['paket', 'gb', 'regiatrasi', 'cm', 'mb']",katanya dapat paket gb ternyata setelah di regiatrasi cm mb,10
